metric,value
native_fit_records,23000
matched_fit_records,11040
sky_positions,46
native_pairs,11500
matched_pairs,5520
native_transit_min,53
native_transit_max,310
matched_n,53
native_delta_min_beta025_a1,834.1407907159239
native_delta_median_beta025_a1,2195.390754819038
native_delta_max_beta025_a1,8766.638962222585
matched_delta_min_beta025_a1,300.0384213694993
matched_delta_median_beta025_a1,1180.944516976003
matched_delta_max_beta025_a1,2230.2621768573217
matched_to_native_median_ratio,0.5379199645364936
rho_native_delta_vs_N,0.7708680890890584
rho_matched_delta_vs_native_N,-0.003208094488405846
rho_matched_delta_vs_entropy,0.33994264409144087
rho_matched_delta_vs_max_gap,-0.2746222633364169
rho_delta_ratio_vs_retained_fraction,0.923252577288336
median_ratio_over_retained_fraction,1.013825725180141
median_native_delta_per_transit,21.444238234397467
median_matched_delta_per_transit,22.281972018415146
