true_beta_g,a_over_alpha,beta_over_alpha,model,n,frac_bias_m1_msun_median,frac_bias_m1_msun_q16,frac_bias_m1_msun_q84
0.25,0.4,1.5,equal_width,10,-0.000626235152286,-0.00292263618436,0.00432652816723
0.25,0.4,1.5,penoyre_oriented,10,-0.00057414423851,-0.00289090631159,0.00433517914134
0.25,0.4,1.5,photocentre,10,-0.00231504006082,-0.00446078371402,0.00274744631389
0.25,0.6,1.5,equal_width,10,0.000128106401084,-0.00346012115038,0.00352994581424
0.25,0.6,1.5,penoyre_oriented,10,0.000295923347331,-0.00333768276229,0.00359039425714
0.25,0.6,1.5,photocentre,10,-0.00361375664309,-0.00700627941716,-0.000212595988005
0.25,0.8,1.5,equal_width,10,0.0000991591047403,-0.00391093744211,0.00305202407682
0.25,0.8,1.5,penoyre_oriented,10,0.00053475198572,-0.00357625332645,0.00326011773598
0.25,0.8,1.5,photocentre,10,-0.00704277794793,-0.0104964653708,-0.00408485383162
0.25,1.0,1.5,equal_width,10,-0.000263618345919,-0.00434379575899,0.00252890933509
0.25,1.0,1.5,penoyre_oriented,10,0.000697916602727,-0.00357633422217,0.00310665256595
0.25,1.0,1.5,photocentre,10,-0.0125515488353,-0.0155007417469,-0.00935473171343
