quantity,value,uncertainty_or_note
fit,free_parallax,
n_constraints,110,scalar
n_free,10,parameters
dof,100,
chi2,104.62895158620537,
reduced_chi2,1.0462895158620538,
chi2_astrometry,7.094327846443908,
chi2_rv1,41.80177331776519,
chi2_rv2,55.73285042199627,
period_yr,11.728393054851365,0.07319379572458505
t_peri_yr,1993.2062953705527,0.0578606722206693
eccentricity,0.24888143009339497,0.010051601553487107
inclination_deg,81.83378185997702,1.3705388596112034
omega1_deg,71.79048635504437,2.246057951207977
omega_relative_deg,251.79048635504438,2.246057951207977
node_deg,289.07220071232814,3.269527668529741
m1_msun,0.7823221843554514,0.028170389605173908
m2_msun,0.8073652608700976,0.02657125611879327
m_total_msun,1.589687445225549,derived
parallax_mas,35.44258102227343,2.2444770048465337
gamma_kms,-4.124780702571665,0.05693776381636379
k1_kms,7.941630810635026,derived
k2_kms,7.695295133735243,derived
a_rel_au,6.024619033355713,derived
a_rel_ang_mas,213.5280482180405,derived
